Code,Title,Description,Emdat Subtype,Emdat ClassificationKey,HIPS Code,HIPS Name,HIPS URI
groundwater_flood,Groundwater Flood,"The emergence of groundwater at the ground surface away from perennial river channels or the rising of groundwater into man-made ground, under conditions where the 'normal' ranges of groundwater level and groundwater flow are exceeded (BGS, 2010).",Flood (General),nat-hyd-flo-flo,MH0605,Groundwater Flooding,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0605
snow_avalanche,Snow Avalanche,"A mass of snow and ice falling suddenly down a mountain slope and often taking with it earth, rocks and rubble of every description (WMO, 1992).",Avalanche (wet),nat-hyd-mmw-ava,MH0801,Avalanche,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0801
landslide_general,Landslide (general),"The downslope movement of soil, rock and organic materials under the effects of gravity, often triggered by seismic activity or precipitation. This general code can be used to include multiple specific types of landslide activity",Landslide (dry),nat-geo-mmd-lan,GH0300,Gravitational Mass Movement (‘Landslide’),https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0300
landslide_rockslide,Rockslide,"A movement of a mass of soil or rock on an individualized failure surface (Dennis and Didier, 2019).",Landslide (dry),nat-geo-mmd-lan,GH0304,"Rock, debris and earth (mud) slide",https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0304
landslide_mudflow,Mudflow,"A flow of water so heavily charged with sediment and debris that the flowing mass is thick and viscous (WMO and UNESCO, 2012).",Mudslide,nat-hyd-mmw-mud,GH0303,Debris and earth (mud)flows and rock avalanches,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0303
landslide_rockfall,Rockfall,"A fragment of rock (a block) detached by sliding, toppling, or falling, that falls along a vertical or sub-vertical cliff.",Rockfall (dry),nat-geo-mmd-roc,GH0301,"Rock, debris and earth falls",https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0301
tsunami,Tsunami,"A series of travelling waves of extremely long length and period, usually generated by disturbances associated with earthquakes occurring below or near the ocean floor, but can also be caused by landslides (subaerial and submarine), volcanic activity and meteorological conditions.",Tsunami,nat-geo-ear-tsu,MH0705,Tsunami,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0705
ashfall,Ashfall,"The finest particles of tephra (less than 2 mm diameter) - tephra is a collective term for fragmented magma and old (i.e., preexisting) rocks ejected into the atmosphere from volcanic vents during an explosive eruption.",Ash fall,nat-geo-vol-ash,GH0202,Ash/Tephra Fall (including Volcanic Ballistic Projectiles),https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0202
volcano_ballistics,Ballistics,"Fragments of magma and old (i.e., pre-existing) rocks ejected during an explosive eruption.",Volcanic activity (General),nat-geo-vol-vol,GH0202,Ash/Tephra Fall (including Volcanic Ballistic Projectiles),https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0202
lahar,Lahar,"Discrete, rapid, gravity-driven, water-saturated flows containing water and solid particles of volcanic rock, sediment, ice, wood, and other debris that originate at volcanoes.",Lahar,nat-geo-vol-lah,GH0204,Lahars,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0204
lava,Lava,"A lava flow forms during an eruption or eruptive episode and travels away from the source vent as fluid, relatively low-viscosity molten rock.",Lava flow,nat-geo-vol-lav,GH0201,Lava Flows and Domes,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0201
pyroclastic_flow,Pyroclastic Flow,"Also known as pyroclastic density currents these are hot, fast-moving mixtures of volcanic particles and gas that originate from the gravitational collapse of explosive eruption columns, lava domes or lava-flow fronts, and from explosive lateral blasts.",Pyroclastic flow,nat-geo-vol-pyr,GH0203,Pyroclastic Density Current,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0203
volcano_gas_aerosols,Volcanic Gases and Aerosols,"Volcanic gases and aerosols emitted by almost any type of volcanic activity, includes lake overturn.",Volcanic activity (General),nat-geo-vol-vol,GH0205,Volcanic Gases and Aerosols,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0205
wildfire,Wildfire,"An unplanned or uncontrolled fire affecting natural, cultural, industrial and residential landscapes (UNDRR adapted from FAO, 2010).",Wildfire (General),nat-cli-wil-wil,EN0205,Wildfires,https://www.undrr.org/understanding-disaster-risk/terminology/hips/en0205
extratropical_cyclone,Extratropical cyclone,"A low-pressure system which develops in latitudes outside the tropics (WMO, 1992).",Extra-tropical storm,nat-met-sto-ext,MH0307,Extra-tropical cyclone,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0307
tropical_cyclone,Tropical cyclone,"A warm-core, non-frontal synoptic-scale cyclone, originating over tropical or subtropical waters, with organised deep convection and closed surface wind circulation about a well-defined centre (WMO, 2017).",Tropical cyclone,nat-met-sto-tro,MH0309,Tropical Cyclone,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0309
wildfire_smoke,Wildfire Smoke,"Smoke contains particulate matter, which is a common proxy for air pollution. This process type focusses on smoke originating from wildfires.",Wildfire (General),nat-cli-wil-wil,MH0205,Smoke,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0205
coastal_erosion,Coastal Erosion,Coastal erosion is the process of removal of material at the shoreline which leads to the loss of land as the shoreline retreats landward.,N/A,N/A,GH0405,Coastal Erosion and Accretion,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0405
soil_erosion,Soil,"Erosion is the wearing away of the land surface by water, wind, ice, gravity or other natural or anthropogenic agents that abrade, detach and remove soil particles from one point on the earth's surface, for deposition elsewhere. Four main forms are recognized: water, wind, harvest and tillage. (FAO, 2020).",N/A,N/A,GH0403,Soil Erosion,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0403
subsidence_uplift,Subsidence and uplift,"Subsidence is a lowering or collapse of the ground (BGS, 2020). Uplift is the converse. This process type is intended to describe co-seismic subsidence and uplift: that which occurs during earthquakes.",Sudden Subsidence (dry),nat-geo-mmd-sub,GH0309,Subsidence and Uplift,https://www.undrr.org/understanding-disaster-risk/terminology/hips/gh0309
lightning,Lightning,Lightning is a large electrical discharge caused by a thundercloud.,Lightning/Thunderstorms,nat-met-sto-lig,MH0102,Lightning (Electrical Storm),https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0102
dust_sand_storm,Dust or sand storm,"A dust storm is an ensemble of particles of dust or sand energetically lifted to great heights by a strong and turbulent wind (WMO, 2017).",Sand/Dust storm,nat-met-sto-san,MH0201,Dust storm or Sandstorm,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0201
thunderstorm,Thunderstorm,"A thunderstorm is defined as one or more sudden electrical discharges, manifested by a flash of light (lightning) and a sharp or rumbling sound (thunder) (WMO, no date).",Lightning/Thunderstorms,nat-met-sto-lig,MH0103,Thunderstorm,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0103
sea_level_rise,Sea Level Rise,"Sea-level change (sea-level rise / sea-level fall) refers to a change in the height of sea level, both globally and locally (relative sea-level change), at seasonal, annual, or longer time scales. It results from a change in ocean volume due to a change in the mass of water in the ocean (e.g. melting of glaciers and ice sheets), changes in ocean water density (e.g. expansion under warmer conditions), changes in the shape of ocean basins, changes in the Earth's gravitational and rotational fields, and local land subsidence or uplift (IPCC, 2019).",N/A,N/A,EN0402,Sea Level Rise,https://www.undrr.org/understanding-disaster-risk/terminology/hips/en0402
pest,Pest Infestation,"An insect pest infestation is a recently detected insect pest population, including an incursion, or a sudden significant increase of an established insect in an area leading to damage to plants or trees. Examples for which this process is intended include locust invasion, fall army worm, etc.",Infestation (General),nat-bio-inf-inf,BI0401,Insect Pest Infestations,https://www.undrr.org/understanding-disaster-risk/terminology/hips/bi0401
glacial_lake_outburst,Glacial Lake Outburst Flooding,"A glacial lake outburst flood is a sudden release of a significant amount of water retained in a glacial lake, irrespective of the cause (Emmer, 2017).",Glacial lake outburst flood,nat-cli-glo-glo,MH0607,Glacial Lake Outburst Flooding,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0607
hail,Hail,"Hail occurs during thunderstorms and can cause damage to plant and animal life, buildings and property, and aircraft.",Hail,nat-met-sto-hai,MH0404,Hail,https://www.undrr.org/understanding-disaster-risk/terminology/hips/mh0404
